"VARIABLE1_LABEL","EFFECT","EFFECT_L95","EFFECT_U95","N","P","P_FDR"
"atc_h01ca02",0.0202599278770502,4.95893341789815e-38,8.27727745046539e+33,3,0.926,0.952617246596067
"atc_g03ga06",0.0202599239305692,9.85376964591256e-26,4.16555828299391e+21,7,0.887,0.932241112828439
"atc_n03ax18",3.8549949035684,0.535994665037206,27.7259955665917,76,0.18,0.273214285714286
"atc_p01ba01",0.0202599298612184,4.22809213697581e-64,9.70803721120137e+59,1,0.957,0.962662721893491
"atc_c09ca04",0.00745267324337212,7.56372027129359e-18,7343256556336.88,46,0.781,0.877818181818182
"atc_l01db06",0.0202599268483579,2.92678622504326e-33,1.40244146425401e+29,4,0.914,0.94599695585997
"atc_r06ax25",0.00274159662422882,1.02394581114035e-15,7340576003.3454,182,0.686,0.834326241134752
"atc_n07xx04",0.020259911182883,3.26933598140948e-16,1255496539579.73,20,0.81,0.885530546623794
"atc_h03ba02",0.00745265926515284,6.95555488255237e-14,798529104.583629,85,0.705,0.841052631578947
"atc_n06ba07",0.00274159489898334,2.70195879092266e-15,2781812444.87626,195,0.676,0.829747292418773
"atc_l02ab01",7.47755436055692,2.37680570097882,23.5247749498654,119,0.000581,0.00123077881619938
"atc_j01ce01",0.0202599258960716,5.27572849816581e-30,7.78024489806515e+25,5,0.904,0.939938837920489
"atc_c04ax02",0.0202599229877819,3.15711192312393e-24,1.30012647465695e+20,8,0.879,0.932241112828439
"atc_l03ab08",0.00745266393642014,7.72443667844855e-15,7190453111.51067,72,0.728,0.852901023890785
"atc_g03da04",0.00100855832693225,4.29722153484365e-18,236708740886.778,370,0.683,0.834326241134752
"atc_n05bb01",0.0202599287339175,4.91974551159268e-46,8.34321026029109e+41,2,0.939,0.954439461883408
"atc_l01xd03",0.020259923930569,9.85376964591193e-26,4.16555828299412e+21,7,0.887,0.932241112828439
"atc_l01xe07",0.0202598936515943,1.99866201019869e-12,205369036.224944,38,0.74,0.85578231292517
"atc_n06bx03",1.56282748496545,0.218980961090522,11.1536168971045,186,0.656,0.8225
"atc_h01ac01",0.00274160363242018,4.74717824505142e-18,1583338583322.6,129,0.734,0.852901023890785
"atc_j02ac04",14.4562692144609,1.94011909184567,107.716954324779,21,0.00914,0.0169814207650273
"atc_a03ca05",0.00274158275021644,3.47849706015612e-13,21607826.1568144,287,0.612,0.800307692307692
"atc_g02ab01",0.0202599287339175,4.91974551159268e-46,8.34321026029109e+41,2,0.939,0.954439461883408
"atc_a03bb01",0.00274159754854308,5.80977947342181e-16,12937422414.3322,175,0.692,0.834326241134752
"atc_j01ce09",0.0202599131990175,5.86685712826124e-17,6996319730618.19,18,0.819,0.8925
"atc_a08aa10",0.0027415935881964,5.34781917008621e-15,1405495429.7788,205,0.668,0.829057971014493
"atc_j02ac03",37.7130519572421,11.3232755488205,125.606259584294,26,3.35e-09,1.00796460176991e-08
"atc_b01ac11",6.88393038160306,0.947447825611105,50.0169995832668,43,0.0566,0.0927421686746988
"atc_c05aa05",0.0202599161675318,2.40326912854026e-18,170794106344940,15,0.835,0.901269841269841
"atc_l02bx03",15.2173242737423,3.67116233411246,63.0772864224785,40,0.000175,0.000385113268608414
"atc_n02cc02",0.386010585987869,0.0546661745840705,2.72571061773394,750,0.34,0.495074946466809
"atc_a04ad12",2.38945434585165,0.333872880735793,17.1007961423122,122,0.386,0.556101694915254
"atc_n06ba04",0.00274160534619389,7.43428836769783e-19,10110449719623.3,116,0.747,0.858040540540541
"atc_b01af02",0.0202599172118618,6.63486495688886e-19,618647475266728,14,0.84,0.90379746835443
"atc_a10ab02",0.0202599249277331,1.33561608265191e-27,3.07322263791847e+23,6,0.895,0.934869431643625
"atc_a10ae02",0.00274160005203804,1.03401122499531e-16,72691385389.642,156,0.708,0.841396160558464
"atc_c09aa16",0.00100855444047799,9.39777642535973e-17,10823646077.2041,450,0.652,0.8225
"atc_m04ac01",0.0202599287339175,4.91974551159268e-46,8.34321026029109e+41,2,0.939,0.954439461883408
"atc_r01ac03",0.781406785975212,0.109799151149309,5.56103174548041,371,0.805,0.885530546623794
"atc_n07bb04",0.0202599006100323,1.69236176429088e-13,2425389070.99675,31,0.764,0.867
"atc_l01xe02",0.0202599141691371,2.2229016087572e-17,18465240230326.1,17,0.824,0.893652312599681
"atc_c10ac02",0.101530190639957,0.0146122649325504,0.70546076593664,2849,0.0207,0.0359081632653061
"atc_r03ba07",2.16573760561006,0.538836501634749,8.70471722335727,269,0.276,0.408888888888889
"atc_n05ae03",1.05905442225259,0.148649001362336,7.54526609000787,274,0.954,0.962662721893491
"atc_l04ab06",0.00745266855589731,4.29755207800557e-16,129241641743.727,59,0.753,0.859966499162479
"atc_l04ab05",0.00745265994978731,5.13134909238157e-14,1082408141.15778,83,0.709,0.841396160558464
"atc_l04ax04",5.2031128739086,2.46400688523927,10.9871379584252,396,1.53e-05,3.70249110320285e-05
"atc_g02cb03",0.0010085591108237,2.05125499596396e-18,495887387003.036,354,0.689,0.834326241134752
"atc_b01ac22",1.32625057263391,0.185981298261628,9.45762072774326,219,0.778,0.875894039735099
"atc_l04ad02",1.40694059692597,0.52677990283491,3.75770190287377,826,0.496,0.685528455284553
"atc_c09bb10",0.00274158565848084,1.37650886627537e-13,54604021.1359178,265,0.626,0.805973534971645
"atc_a10bd04",0.0202599082924703,2.78846462058914e-15,147200678462.467,23,0.796,0.884444444444444
"atc_g04be04",0.00274159253242675,8.91628411153094e-15,842989020.968685,213,0.662,0.825714285714286
"atc_b01ac24",3.30431145313839,0.819884397003262,13.3170898473606,177,0.0928,0.146753488372093
"atc_n02aa03",5.88125621789594,3.3207997929612,10.4159169046732,602,1.24e-09,3.81538461538462e-09
"atc_g03fb11",0.00274159847142691,3.18284832045809e-16,23615206952.2703,168,0.698,0.838306878306878
"atc_a10bh05",3.49754351289573,1.1203351131389,10.9188853238079,251,0.0311,0.0527381546134663
"atc_r01ac07",0.00100855046002648,1.04536769415712e-15,973029907.184731,532,0.624,0.805973534971645
"atc_l01bc04",3.63682359504915,0.901674618620182,14.6688013484803,161,0.0696,0.112151658767772
"atc_n03aa03",0.850847861022209,0.353695837218732,2.04679277058715,1704,0.718,0.847058823529412
"atc_a10bx04",3.10886415200979,0.433341384684311,22.3035155589687,94,0.259,0.385382932166302
"atc_n07xx02",17.4399682783171,11.5506000875461,26.3321811198924,422,4.07e-42,2.38586206896552e-41
"atc_l01xx17",13.7678747246771,1.85194692554605,102.354107355702,22,0.0104,0.0189597855227882
"atc_h05aa03",0.0202599111828833,3.26933598141025e-16,1255496539579.46,20,0.81,0.885530546623794
"atc_a04aa03",5.83289626997687,2.76004313719635,12.3268649093906,354,3.85e-06,9.80524344569289e-06
"atc_l03aa10",4.44807317291565,0.617222517474268,32.0554652357393,66,0.139,0.213363431151242
"atc_j01dd04",0.0202599006100324,1.69236176429066e-13,2425389070.99708,31,0.764,0.867
"atc_c07ag01",0.000136479515513305,6.31721782486416e-20,294855404248.264,2401,0.621,0.805638095238095
"atc_r03ak08",0.0027415943754886,3.57238078374365e-15,2104014150.42716,199,0.673,0.829057971014493
"atc_b01ac05",0.0202599161675318,2.40326912854026e-18,170794106344940,15,0.835,0.901269841269841
"atc_c09db02",0.505451633383897,0.0712237527048068,3.58702460890139,573,0.495,0.685528455284553
"atc_a12aa07",0.0202599111828831,3.26933598140948e-16,1255496539579.73,20,0.81,0.885530546623794
"atc_r03ca02",0.00274158473092885,1.87141205428304e-13,40163719.2603306,272,0.621,0.805638095238095
"atc_n02cc07",2.54365660272194,0.816299905686849,7.92623993644445,344,0.107,0.168816705336427
"atc_n05ba09",1.27369409717221,0.635977333606301,2.55087181169195,1824,0.495,0.685528455284553
"atc_r05cb02",0.00745266606616775,2.26447447396334e-15,24527647422.1399,66,0.739,0.85578231292517
"atc_g03db01",0.0939438929981724,0.023952634084033,0.368454467291143,6158,0.000694,0.00146105263157895
"atc_a08ab01",0.0010085389818761,1.06944961213956e-13,9510975.23827002,768,0.556,0.747193675889328
"atc_c05ba04",0.00745266534162808,3.47072148476873e-15,16003076287.755,68,0.735,0.852901023890785
"atc_n01bb02",0.00745266713500301,1.14921546644846e-15,48330577726.0394,63,0.745,0.858040540540541
"atc_g04be01",0.120565172868172,0.0171871157468239,0.845747542685772,2399,0.0333,0.0560495049504951
"atc_l04ac03",0.00745266500168348,4.2668503861609e-15,13017146279.0126,69,0.733,0.852901023890785
"atc_l04ab01",0.277381111108136,0.0703812647002765,1.09319264334393,2087,0.0669,0.108057007125891
"atc_l01xe05",12.9467436079244,5.71412868299391,29.3339858705296,140,8.43e-10,2.60563636363636e-09
"atc_n06ax22",0.00745267217981218,2.2129489048053e-17,2509878221731.16,49,0.774,0.873963515754561
"atc_l01xe10",0.0202599103316259,7.02829531378826e-16,584016391343.525,21,0.805,0.885530546623794
"atc_l01xe11",0.0202599141691371,2.2229016087572e-17,18465240230326.1,17,0.824,0.893652312599681
"atc_n05ae04",0.993545041105226,0.139486840311754,7.07688084767379,292,0.995,0.995
"atc_a02ba07",0.00745266283127974,1.34896813157228e-14,4117382907.48215,75,0.722,0.847944732297064
"atc_c09xa02",1.68094921315816,0.235437906199925,12.0014245064584,173,0.605,0.794208494208494
"atc_m01ae14",0.00274159384781757,4.68418747249885e-15,1604619129.89606,203,0.67,0.829057971014493
"atc_c02dc01",0.020259912261513,1.43272071611638e-16,2864927129390.8,19,0.815,0.889566613162119
"atc_l01ab01",0.0202599111828834,3.26933598141016e-16,1255496539579.51,20,0.81,0.885530546623794
"atc_a09aa02",2.99306200470712,2.41991346561301,3.70195888874567,8400,5.07e-24,2.11509202453988e-23
"atc_m01ac05",0.00745267075795642,8.01541467016006e-17,692943580739.154,53,0.765,0.867
"atc_n02cc06",0.239466410492174,0.0348404603778265,1.64590711868153,1209,0.146,0.223101123595506
"atc_l01xe03",21.6217439632025,15.4804436785354,30.1993806972405,532,1.13e-72,8.73181818181818e-72
"atc_n07aa02",1.11537172618915,0.800255892912509,1.5545703550579,9108,0.519,0.707254509018036
"atc_h01cb03",4.97582309673549,2.57443831441172,9.61717177351127,532,1.82e-06,4.76e-06
"atc_l03ab05",1.74704178671256,0.871833420452888,3.50084652975832,1332,0.116,0.180503432494279
"atc_c08ca06",0.00100855672598074,1.71444145272169e-17,59330499032.5675,403,0.67,0.829057971014493
"atc_r03bc01",0.176217652257549,0.0441358853805477,0.703569458263284,3283,0.014,0.0251187335092348
"atc_b03ba01",0.000371002297492407,4.03559879659153e-15,34107132.9639848,1728,0.54,0.731474103585657
"atc_n03ag06",0.938705749326779,0.131814578961824,6.6849091410014,309,0.95,0.962662721893491
"atc_r06ae03",0.670802169017901,0.216117089053564,2.08209148073244,1296,0.49,0.685528455284553
"atc_g03hb01",0.000371017087147467,2.43444035289662e-19,565442808206.837,901,0.658,0.8225
"atc_n04bc09",4.07890445585705,2.11250480851012,7.87570352170905,647,2.82e-05,6.6815331010453e-05
"atc_g04be08",0.00274158737470833,7.52428491468332e-14,99893895.8105152,252,0.634,0.808855534709193
"atc_n02cc05",0.000371010612270405,5.56601144049523e-17,2473025359.16119,1263,0.6,0.790697674418605
"atc_c10ab04",0.209924378867283,0.0943242761060893,0.467199396189904,8267,0.000131,0.000291111111111111
"atc_g04be09",0.00274158830406316,5.32903872882073e-14,141044319.838133,245,0.639,0.813457943925234
"atc_n04bc02",0.000370998507197031,1.66826145938809e-14,8250498.83924737,1940,0.516,0.705995975855131
"atc_l01ax03",7.88542326409861,2.50447675435586,24.8275013716308,113,0.000417,0.000897341772151899
"atc_n07bc02",1.77200508970443,0.794119099073774,3.95406941049621,985,0.162,0.246995515695067
"atc_h01cb02",2.97327324574038,1.97155334944301,4.48395362790109,2260,2.01e-07,5.4672e-07
"atc_r03ac18",5.22370967104684,3.64034153467796,7.49576446810018,1691,2.9e-19,1.10786516853933e-18
"atc_r03cc03",0.00100855526831709,5.24432550394783e-17,19395892350.3976,433,0.658,0.8225
"atc_a02bb01",0.609296934943372,0.228528803961835,1.62448999205101,1902,0.322,0.470881720430108
"atc_g02ba03",0.00274159120859146,1.62447229700685e-14,462693169.275652,223,0.655,0.8225
"atc_n05an01",0.336575305427889,0.226041955364949,0.501158893449579,20628,8.27e-08,2.31423868312757e-07
"atc_g03fa17",0.000136474562075813,5.69731484438745e-18,3269137585.42469,3154,0.571,0.761333333333333
"atc_a10bx07",0.00100855405451528,1.22273207367112e-16,8318922049.90784,458,0.649,0.8225
"atc_n02cc04",0.117432587944852,0.016760592494941,0.822787900582142,2463,0.0311,0.0527381546134663
"atc_l01db03",20.6518189933345,2.71565913625658,157.051237410215,15,0.00344,0.00666438746438746
"atc_g03db02",0.00100855911082339,2.05125499596574e-18,495887387002.303,354,0.689,0.834326241134752
"atc_a07ec03",0.000371009502629373,1.11986757769662e-16,1229145782.79348,1325,0.591,0.781867704280156
"atc_b03xa03",4.95273346664667,2.86239562311337,8.5695941516853,772,1.07e-08,3.13620689655172e-08
"atc_l01cb01",6.85163122462715,2.82246157281701,16.6325915259252,216,2.11e-05,5.05211267605634e-05
"atc_g04be03",0.798898551080093,0.415308605631117,1.53678225364,3266,0.501,0.688242424242424
"atc_a10bh03",1.59444562140722,0.512631029237797,4.95923323916736,547,0.42,0.603805496828753
"atc_j05ah02",0.0027416001984262,9.36037722301279e-17,80299879683.6021,155,0.709,0.841396160558464
"atc_r03da05",0.645911113865618,0.416538410931239,1.00159110436515,8971,0.0508,0.0840097087378641
"atc_a10bx03",0.816722674309518,0.203876863076739,3.27175882866228,710,0.775,0.873963515754561
"atc_r01ac02",0.000371009306825597,1.26129242545546e-16,1091324287.47842,1336,0.59,0.781867704280156
"atc_j01xx08",0.00100856042525222,5.21808949659597e-19,1949361221283.19,327,0.701,0.839225352112676
"atc_l02bb01",1.88102668564306,1.18328170572027,2.99021050946406,2785,0.00755,0.0142611111111111
"atc_l04ax02",7.28126647725713,4.283960258287,12.3756613778737,570,2.2e-13,7.55555555555556e-13
"atc_n05ab02",1.07082876062979,0.534815608591031,2.14405528965926,2168,0.847,0.909889415481833
"atc_l02ae01",1.2952929256343,0.815199941688327,2.0581254700822,4036,0.273,0.405327510917031
"atc_m03bx01",1.79886195331696,1.27740447801702,2.5331869292603,5338,0.000775,0.00161656441717791
"atc_g03ca57",0.00100853777402729,1.54044683534131e-13,6602944.14779053,793,0.55,0.742063492063492
"atc_g04bd01",0.000370999812356954,1.05176446412645e-14,13086662.0297172,1867,0.524,0.71264
"atc_n02aa01",29.5431992169458,25.260881548054,34.551471147664,1870,0,0
"atc_g03dc02",0.000136472377604819,2.56279835948214e-17,726733329.612231,3486,0.552,0.743287128712871
"atc_h05aa02",1.32889054195991,0.63242861435979,2.79233107486476,1530,0.453,0.645786163522013
"atc_l04ab04",0.294899594101402,0.0746218084448087,1.16542030290639,1963,0.0816,0.130867924528302
"atc_m01cb03",0.292761981195626,0.158363637999164,0.541220059834952,9884,8.92e-05,0.000202862876254181
"atc_c09bb02",0.612322871766136,0.291761139314425,1.28508992036758,3312,0.195,0.294666666666667
"atc_n06ax12",2.18489728855795,0.978598223292121,4.87817783429887,800,0.0565,0.0927421686746988
"atc_n06ax17",1.21024961057293,0.650310454690401,2.25231519703808,2399,0.547,0.73948310139165
"atc_r03bb02",0.000136463200883264,2.39863572906381e-15,7763665.3909822,4881,0.481,0.67439175257732
"atc_b01ab10",14.2563539521347,9.19837749846284,22.0955954506663,447,1.4e-32,6.94890510948905e-32
"atc_l04aa06",1.2020133204929,0.697136220339952,2.07253041871473,3140,0.508,0.696451612903226
"atc_c01ba01",0.17075008499645,0.0889145390645812,0.327905782710275,15239,1.1e-07,3.0530612244898e-07
"atc_g03dc03",0.218392014257892,0.0562626438801795,0.847721838191495,2652,0.0279,0.0477884130982368
"atc_a06ad12",1.80825292556304,0.971016222943122,3.36737797530992,1609,0.0619,0.100698564593301
"atc_a10bd05",0.643684010030073,0.306670106773172,1.35105801190741,3151,0.244,0.363859649122807
"atc_l02ab02",7.60711471736393,5.87368225603471,9.85211521506466,2303,2.28e-53,1.46264150943396e-52
"atc_l02ba03",11.9103294621631,8.49332218653052,16.7020566018605,885,9.17e-47,5.51823008849557e-46
"atc_c09bb05",0.323117851716747,0.206647552399163,0.505232918976827,17012,7.29e-07,1.944e-06
"atc_b01ae05",0.00274158366797502,2.62088420539238e-13,28678416.9748624,280,0.616,0.803992322456814
"atc_c10ab02",0.0154128573357545,0.00220387055613438,0.107790437415253,18745,2.61e-05,6.20559440559441e-05
"atc_m03ax01",0.00274158711587628,8.28186633805046e-14,90756112.2956751,254,0.633,0.808855534709193
"atc_c01bd07",0.852229444374586,0.319403104756919,2.27391348124734,1361,0.749,0.858887015177066
"atc_h02ab01",0.00100856023170547,6.45885994951756e-19,1574881246734.23,331,0.699,0.838306878306878
"atc_c01ba03",0.250614836956699,0.159830634905354,0.392964693783677,21921,1.64e-09,5.00089686098655e-09
"atc_c01bb02",0.143392760695896,0.0360134282638536,0.57093936376582,4034,0.00587,0.0112123595505618
"atc_l04ad01",0.641739700570735,0.451151485398588,0.912841598924957,13994,0.0136,0.0245305039787798
"atc_n04bc01",1.22640342848964,0.459325201680737,3.27451087793038,947,0.684,0.834326241134752
"atc_m05ba02",4.01747749467482,3.37388269898032,4.78384308532619,9352,6.07e-55,4.04666666666667e-54
"atc_l02aa02",0.000371013777461202,5.49464244130083e-18,25051898196.5716,1086,0.627,0.805973534971645
"atc_j01cf05",1.52170007311384,0.213247935448053,10.8585863101064,191,0.675,0.829747292418773
"atc_m01cc01",0.313604929464266,0.0447639484599019,2.19703701679454,923,0.243,0.363164835164835
"atc_n05aa01",0.651182281347296,0.46511953531365,0.91167609903704,15126,0.0125,0.0226063829787234
"atc_a14ab01",3.40700361171357,2.46364501192326,4.71158529498034,3178,1.25e-13,4.33673469387755e-13
"atc_j01cf01",1.72099224223226,0.553180408199834,5.35415617386379,507,0.348,0.505641025641026
"atc_g02cb01",0.601029111501466,0.323251953146898,1.11750598675604,4820,0.108,0.17
"atc_l03ab04",2.39946666263151,1.07438439734649,5.35882713794029,729,0.0328,0.0554825870646766
"atc_l02bg06",4.79958191570527,3.60817085867226,6.38439460542672,2941,4.54e-27,1.99174193548387e-26
"atc_l02bg04",2.20849152533216,1.89095370440542,2.57935178746093,21264,1.46e-23,5.94491017964072e-23
"atc_g03fb08",0.000136465042740908,1.14168585448186e-15,16311586.7794731,4601,0.494,0.685528455284553
"atc_a11cc02",0.741489431267931,0.563291286707863,0.976060858131438,19932,0.0329,0.0555136476426799
"atc_g03fa14",0.0623184918483408,0.0156185866025008,0.248652104386314,9277,8.46e-05,0.000194351351351351
"atc_r03ba08",1.4655022228895,1.01739686255325,2.1109724674246,5751,0.0401,0.066997542997543
"atc_g03fb05",0.0353630459954467,0.0115752084977696,0.108036500795389,24511,4.48e-09,1.34202643171806e-08
"atc_g03fb06",0.0414657717515117,0.0173778160714677,0.0989428257197134,34816,7.33e-13,2.45536945812808e-12
