"VARIABLE1_LABEL","VARIABLE2_LABEL","EFFECT","EFFECT_L95","EFFECT_U95","N","P","P_FDR"
"atc_c09ba02","atc_a10ad05",1.38689770795526,0.918203772813169,2.09483483871824,10781,0.12,0.205773768216516
"atc_a10ae04","atc_a10ad05",0.42020671746978,0.285168236270338,0.619191280614214,5633,1.17e-05,5.97946225439504e-05
"atc_a10ae04","atc_a04aa02",0.331930526694216,0.0449727532842151,2.44988057224797,40,0.28,0.406271285965942
"atc_a10ab05","atc_a10ad05",0.414522182035984,0.310772762587945,0.552907654998396,12620,2.08e-09,1.75715555555556e-08
"atc_j01ma14","atc_a10ad05",0.513844263251776,0.162047851397897,1.62937011875856,183,0.258,0.380153846153846
"atc_n03ag01","atc_a10ad05",0.728175715347307,0.374956123413845,1.41413845330465,1153,0.349,0.481910589550154
"atc_a11cc03","atc_a04aa02",0.000203992395842986,2.90941258337244e-55,1.4302851991355e+47,4,0.887,0.928915872006781
"atc_r03ak06","atc_a04aa02",0.435345050415147,0.105197905681872,1.80160728193685,96,0.251,0.372281512605042
"atc_c09ba02","atc_a04aa02",3.70088349518087,0.88267136064998,15.5171440419414,53,0.0736,0.137933712552143
"atc_c08db01","atc_a04aa02",2.54456399155638,0.345194030857911,18.7570042594117,44,0.359,0.492280244173141
"atc_b01ac04","atc_a04aa02",0.000458926487313019,5.22589384450998e-24,40301913323158016,26,0.743,0.827565021410863
"atc_n03ag01","atc_a04aa02",0.278045838744227,0.0378324676976502,2.04346935708301,50,0.208,0.32123
"atc_a10ab05","atc_a04aa02",0.000368673883377574,7.15805209363991e-17,1898846648.59411,64,0.597,0.718027257240204
"atc_a11cc03","atc_a10bb01",0.00431361349840728,4.02700093262301e-26,4.62062505695065e+20,53,0.84,0.895637540453074
"atc_a10ae04","atc_a10bb01",1.19379757549389,0.530804936807289,2.68488959395735,3775,0.668,0.773127868852459
"atc_j01ma14","atc_a04aa02",0.000117183599819257,7.77023317201716e-32,1.76725662700222e+23,14,0.777,0.851993343687597
"atc_b02aa02","atc_a10bb01",0.00217448785444407,5.89354497743916e-19,8023010679014.73,116,0.737,0.823480443138142
"atc_b03ba03","atc_a10bb01",1.32080899059244,0.679137471184414,2.56875296040927,8142,0.412,0.547634211941904
"atc_c09ba02","atc_a10bb01",2.71773690813121,1.6573394322209,4.45659697598633,33454,7.43e-05,0.000334722515952598
"atc_b01ac04","atc_a10bb01",3.40740737490494,2.0196809120987,5.74864323814985,4766,4.34e-06,2.43177777777778e-05
"atc_r03ak06","atc_a10bb01",0.849273254591447,0.316226896028101,2.2808466642896,5577,0.746,0.830345045045045
"atc_n03ag01","atc_a10bb01",3.21815693335263,0.797247156545343,12.9903681219296,493,0.101,0.178775787965616
"atc_a10ab05","atc_a10bb01",3.71617795644486,1.52815591445383,9.0370219905882,1155,0.00379,0.0112089646918013
"atc_c08db01","atc_a10bb01",1.62754725700449,0.722518927401852,3.66621547660795,22536,0.24,0.359636143117041
"atc_a10ae04","atc_c10aa01",0.792137095585708,0.712511123968072,0.880661588423256,142905,1.62e-05,8.10327935222672e-05
